label	question	lang	valid	fixed_label	reason
ENTY:veh	What is the weight of an empty tractor-trailer?	en	False	NUM:weight	The question asks for the weight of an empty tractor-trailer, which is a numeric value (weight), not an entity. The correct classification should be NUM:weight.
LOC:mount	What country has Snowdon?	en	False	LOC:other	The question asks for the country that has Snowdon, which is a mountain. The correct answer would be a country, making the secondary label 'mount' incorrect. The correct secondary label should be 'other' as it refers to a location that is not a specific country but associated with a mountain.
HUM:title	What is a Admiral?	en	False	HUM:title	The question 'What is a Admiral?' is asking for a definition of the term 'Admiral,' which is a title. The correct classification should be HUM:title as the answer would be a description of the title itself, not the person holding it.
LOC:mount	What is the tallest peak in the Dolomites?	en	True	LOC:mount	The question asks for the tallest peak in the Dolomites, which is a specific location (mountain). The answer would be a mountain name, which falls under the LOC:mount secondary label.
LOC:city	What is Moscow?	en	False	DESC:desc	The question 'What is Moscow?' is asking for a description of Moscow, which is a city. The expected answer would be a description of the city, not just its location. Therefore, the correct label should be DESC:desc.
ENTY:symbol	What is the £ symbol used for?	en	False	DESC:def	The question asks about the purpose of the £ symbol, which is related to its meaning or definition, not its classification as a symbol. The correct label should be DESC:def.
DESC:manner	What is the way to write a letter?	en	True	DESC:manner	The question 'What is the way to write a letter?' is asking about the manner of writing a letter, which falls under the 'manner' secondary label in the DESC main category.
DESC:def	How is a preposition used?	en	True	DESC:def	The question 'How is a preposition used?' is asking for a definition of how prepositions are used, which falls under the 'def' (definition) secondary label in the DESC (Description) main category.
NUM:dist	How far is Sydney from Melbourne?	en	True	NUM:dist	The question 'How far is Sydney from Melbourne?' is asking for a distance between two locations, which corresponds to the answer type 'dist' under the NUM main label.
HUM:ind	What are Arnold Palmers fans called	en	False	HUM:gr	The question asks for the name of the group of people who are fans of Arnold Palmer, which is a group name, not an individual. Therefore, the correct label should be HUM:gr (group/org) instead of HUM:ind (individual).
LOC:state	How are provinces?	en	False	DESC:desc	The question 'How are provinces?' is asking about the description or characteristics of provinces, which falls under the 'DESC' main label. The secondary label should be 'desc' (description), not 'state'.
ABBR:exp	What does ROU stand for?	en	True	ABBR:exp	The question asks for the expansion of 'ROU', which is an abbreviation. The answer would be the full form of the abbreviation, making 'ABBR:exp' the correct label.
ENTY:color	What color is coral?	en	True	ENTY:color	The question 'What color is coral?' is asking for the color of coral, which is an attribute of an entity (coral). The answer would be a specific color, such as 'pink' or 'white', making the correct classification ENTY:color.
LOC:mount	Where is Mount Popocatépetl?	en	True	LOC:mount	The question 'Where is Mount Popocatépetl?' is asking for the location of a mountain, which falls under the LOC:mount category.
HUM:ind	What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose	en	False	HUM:ind	The question is asking for a person who performed a specific action (waving the train out of the station while Nixon spoke from the caboose). The answer is a person, so the label should be HUM:ind. However, the question's phrasing implies a specific historical or cultural reference which may require a more specific secondary label, such as 'title' if it refers to a known figure or nickname. However, without further context, 'ind' remains the most appropriate secondary label.
