label,text
exclamation,Què bel set de sol!
statement,La pel·lícula va rebre crítiques positives.
exclamation,Què meraviglia!
command,Deu-li a sbandar de ràpidament.
request,Ser-ia capaç de atender a aquesta petició?
command,"Podes dirigir a los clientes al mostrador, por favor."
exclamation,Què emoció és aquest moment!
wh_question,Qui va inventar la premsa de xilogravura?
exclamation,Què emocionant va ser el joc!
command,Duerma un poco.
statement,"Recentemente, va ser promovido a director."
wh_question,"Aquest moment, a on vols?"
statement,El tren ha estat retardat durant tretze minuts.
polar_question,No seria mejor de esta manera?
statement,Hemos visitat més de una vegada a aquest museu.
command,M’enviaràs un correu electrònic quan puguis.
command,Salta a conclusions si os atrevéts.
polar_question,Arribaràrem-hi aïgent?
command,Prepara la mesa per la cina.
command,Desconecteu els llums abans de sortir.
statement,El gat està dormint tranquil·lament al sofà.
command,"Podeu obrir la porta, per favor."
request,Què vols que faci partintents de la nostra cina?
command,Completa la tarea para mañana.
request,Podria organitzar una reunió aquesta semana?
statement,El sol esquiva a l'est cada dia.
exclamation,Què meraviglia d'elegante això!
exclamation,Què potent es el motor!
statement,El bebé està dormint tranquil·lement.
exclamation,Què una deliciosa la matèria!
statement,Dona treballa a una banc al carrer del centre.
request,Quería preguntarle si podría sugerirle un enfoque alternativo.
command,Descriu el procés de forma detallada.
command,Fabricar el prototip en la forma mostrada.
request,Podria passar-me el sal?
request,Podria dir-me com arribar a la estació?
exclamation,Què meraviglia aquesta vista!
statement,Ha contribuït de manera significativa al projecte.
statement,"El altre dia, va fer servir la bicicleta que estava cassada."
command,Prepara les teves maletes per al viatge.
exclamation,Què vent fort està vent!
command,Donin-me un moment per pensar.
exclamation,Què èsta és una realització remarcable!
polar_question,El test va ser difícil per a vostres?
command,Fixa-txes per a sortir abans.
exclamation,Què plat més picant és!
wh_question,Què dia va caírem el mur de Berlín?
request,Podria escriure-me una carta de recomendación?
exclamation,Què envejat és aquest mateix càtedra!
exclamation,Què una participació impressionant al lloc de la celebració!
statement,Visité la meva bona-vuda el passat esdeveniment.
command,Localitza el fitxer a l'adreç del servidor.
exclamation,Què una pregunta molt fàcil de respondre!
polar_question,Està lloviendo allà fora?
exclamation,Què impressionant és el teu treball!
statement,Haig de fer-te una regla per t'anclar.
polar_question,Has completat la task a temps?
exclamation,Què pitja de stupid error!
request,Quin donar-vos la confirmació de la vostra presència?
request,Podria donar-me un moment del seu temps?
wh_question,Qui va escriure Hamlet per Shakespeare?
command,Descarrega el fitxer del lloc web.
statement,El cafè està resfriant-se.
command,Explora les noves oportunitats del teu sector.
request,Seria amable de adiestrar-me?
request,Podria proporcionar més detalls sobre això?
polar_question,És això que t’ensenya sense cap sens?
command,Equilibiatriu la pressió dels tires.
request,"Podeu passar-me, per favor, el recibo?"
polar_question,Algun altra vegada?
polar_question,Deixo-vos a esperar aquí?
exclamation,Què majestuositat és aquest palàç!
polar_question,Aquest lloc ja ho has visistat?
command,Tomar este medicament dos veces al día.
exclamation,Qué nota perfecta en el examen!
command,Crea una copia de seguridad de les dades.
statement,Recembem feedback positiu.
wh_question,Qui va escriure Romeo i Juli?
statement,El magazin s'obrà a les nou demanades de la matinada.
exclamation,Què notant és el artista!
request,Posso reservar una mesa para dos esta noche?
command,"Signeu el document aquí, per favor."
exclamation,Què magnífica il·luminació al sol de la seara!
wh_question,Què és la població de Tòquio?
statement,El reloj marcó la medianoche exactamente.
request,Podeu deixar-me emprestar a sua caneta por um momento?
statement,Visíem la playa ayer.
command,Inici el procés immediatment.
command,Canvi els sets a el seu dispositiu.
request,Tens de temps per ajudar-me?
command,Defensa de la teva posició en el debat.
request,Quedaria benvingut que foste el patrocinador de la meva candidatura?
wh_question,¿Qual és el mar més profund del món?
request,Podria flexionar las reglas solo esta vez?
request,"Podria dedicar unos minutos a mí, por favor?"
statement,Els nens estaven jugant al parc.
exclamation,Què calma té aquesta tarda!
command,Inicia sessió a la teva compte ara.
command,Dirigeu el teatre a la victòria amanut.
command,"Pli, gira a la izquierda en la esquina."
command,Revisca els notes amb atenció.
exclamation,Què cosa de terribles era la pel·lícula!
request,Podría entregarlo mañana por la mañana?
polar_question,Va dir algú alguna cosa important?
exclamation,Que magnífic windows de vitraliu!
wh_question,Per què soнем de nit?
command,Fergueu la finestra abans de sortir.
request,Podria convertir-ho en una tarea prioritaria?
exclamation,Què ridículo és aquesta situació!
exclamation,Què enfado és aquest ruid!
command,"Tenga precaución, por favor."
request,Podria trobar-ho el temps al seu calendari?
command,Finalitza l'acord avui.
statement,Escriviu una carta a la seva amiga.
command,Collabora amb altres persones en aquest projecte.
wh_question,Qual és la fórmula química del·aigua?
exclamation,Què geniu musical és!
wh_question,Què hora arribarà el paquet?
command,Continua amb el pla amb la discussió anomenada.
exclamation,Què una llum tan clar!
exclamation,Què de extraordinarament bell és això!
wh_question,"Què és el seu nom, per favor?"
statement,La política s'ha implementat amb succes.
statement,La pluja s'ha posat de repente aquesta matí.
request,Podria conectarme con el soporte?
command,"Despiriu-se molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt molt moltă, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar, dar"
request,Variaria el teu calendari per això?
statement,L'equip s'ha estagiat molt per al partit.
command,Identifica el problema de manera rápida.
statement,Els resultats superaven les nostres expectatives.
statement,Els nens estan fent les seves pràctiques.
exclamation,Què enorme és aquest edifici!
wh_question,Què país té més habitants?
request,Podeu deixar-me usar o vosso telemóvel por um momento?
statement,El sempre bevia cafè al matí.
exclamation,Què remarcável precisió és això!
polar_question,No nos habían advertido ya?
request,Podria preguntarme per la seva opinió sin dubte?
statement,Fa cinc mílunes cada matí.
wh_question,¿Dónde está el hospital más cercano?
exclamation,Què valentós que et heu fet això!
polar_question,Alguien ha visto mis llaves en algún sitio?
wh_question,"Aquesta caixa, ¿a dara?"
request,Podria aclararme per favor?
statement,El temps ha estat imprevisible últimament.
wh_question,-Què pensen allora aquím?
exclamation,Què notícia tan emocionant!
command,Participa a la discussió quan puguis.
statement,Els estudiants estudien per a les tasses.
request,Què pensaria si extendés esto?
statement,El producte ha estat millorat de manera significativa.
statement,El problema ha estat resolut de manera elegant.
command,Calcula els gastos totals per a aquest mes.
request,Podria baixar un poco la música?
command,Desconecteu-se correctamente una vez finalizado.
statement,Ella ensina matemàtiques a un institut secundari.
exclamation,Què harmònia absoluta és això!
polar_question,Ha telefonat ja hoy?
command,"Presenta el candidat per a aquesta data, esdevençent a més, per a la passada nit, viernes."
wh_question,¿De dónde nace el río Amazonas?
command,Determina la causa del problema.
exclamation,Què tremendo refrescant és aquesta bebida!
request,"No t’interèssi esperar un moment, por favor?"
command,No hogués més a la cutia i agiu ara.
exclamation,Què idea genial és!
statement,L'ensenyà va explicar la lesió clarament.
exclamation,Què magnífica orquestra és!
wh_question,Aquest element té el número atòmic 1.
request,Quedaria benvingut que fos el patrocinador de la meva candidatura de membresía?
request,Seria possible reprogramar la nostra reunió?
exclamation,Què cosa de extraordinària és aquesta obra d'art!
command,Focar-se en la tarea en cuestión.
request,Podria garantir que se haga hoy?
wh_question,Qui va pintar El Nit Estrellado?
exclamation,Què petit gat és això!
statement,El coche se averió en la autopista.
command,Termine el projecte per a la finalització de la setmana.
statement,Hem estat en busca d'un nou apartament.
polar_question,Vinar-se a un lloc especial aquest esdeveniment?
exclamation,Què fort temporal de tempesta hacíem!
wh_question,Qui va dir-vos aquella història sobre el incident?
request,Quedaria disposat a aquesta proposta?
wh_question,¿Dónde se encuentran las pirámides de Guiza?
exclamation,Què una aurora boreal espectacular és!
exclamation,Qué gran actuación del equipo!
request,Podría solicitar una transferencia a otro departamento?
request,No t’interèssi si m’unissè a t’company per al llunjo?
exclamation,Què meravellós és aquestes esglutar!
request,Podria processar la meva candidatura el dia de hoy?
wh_question,Què dia va naufragar el Titanic?
command,"Por favor, guíenlos hasta la salida."
command,Dirigir-se de manera segura per les rutes actuals.
request,"A més pla, hagués voleu cancel·lar la meva subscripcó?"
command,Expande el teu coneixement cada dia.
command,Cancella l'abonament immediatament.
wh_question,Què és la substància natural més dura?
request,Podeu recomanar un bon restaurant a prop?
statement,Els nens han tingut un comportament molt correcte ultimament.
wh_question,Què de profund la Fosa de Mariana?
command,Sugeri els pacients a un especialista quan sigui necessari.
command,Participa de la cena esta noche.
request,Quedaria gracies si me concediera el permiso per això?
command,Manteniu-la simple i clara.
