label	question	lang
NUM:weight	Wie schwer ist ein leerer Sattelzug?	de
LOC:other	Welches Land hat Snowdon?	de
HUM:title	Was ist ein Admiral?	de
LOC:mount	Was ist der höchste Gipfel in den Dolomiten?	de
DESC:desc	Was ist Moskau?	de
DESC:def	Wofür wird das £-Symbol verwendet?	de
DESC:manner	Wie schreibt man einen Brief?	de
DESC:def	Wie wird eine Präposition verwendet?	de
NUM:dist	Wie weit ist Sydney von Melbourne entfernt?	de
HUM:gr	Was nennt man Arnold Palmers Fans	de
DESC:desc	Wie sind die Provinzen?	de
ABBR:exp	Was steht für ROU?	de
ENTY:color	Welche Farbe hat Korallen?	de
LOC:mount	Wo befindet sich der Vulkan Popocatépetl?	de
HUM:ind	Wer war der demokratische Scherzspieler, der den Zug aus dem Bahnhof wegwog, während Richard Nixon aus dem Waggon sprach	de
DESC:def	Was ist ein Historiker?	de
DESC:manner	Wie werden Überreste zerstreut?	de
LOC:state	Kosovo ist eine Provinz von welchem Land	de
DESC:desc	Wie sind Republiken?	de
DESC:description	Was sind die Regeln des Golfsports?	de
ENTY:symbol	Was ist das Prozentzeichen?	de
NUM:count	Wie viele Meilen Korridore gibt es im Pentagon?	de
DESC:desc	Was ist das älteste Handwerk?	de
ABBR:abb	Was ist die Abkürzung für Local Area Network?	de
NUM:ord	Was ist das sechste Buch in der Serie?	de
ENTY:animal	Was nennt man ein Baby-Huhn?	de
ABBR:exp	Was bedeutet CPU in voller Form?	de
NUM:temp	Bei welcher Temperatur schmilzt Aluminium?	de
DESC:desc	Wie wird ein Konsortium gebildet?	de
DESC:manner	Wie leben Kolonisten?	de
DESC:def	Was macht eine Zone zu einer Stadt?	de
NUM:speed	Wie schnell reist eine Kugel?	de
ENTY:event	Was heißen die Riten, die die Beschneidung eines neugeborenen Kindes im Judentum begleiten?	de
HUM:ind	Wie alt ist Britney Spears	de
DESC:manner	Wie hat Lee Harvey Oswald sein Gewehr erworben	de
DESC:def	Was ist das endokrine System?	de
ENTY:currency	Was ist der Rupie?	de
NUM:count	Wie viele Kammern hat die menschliche Niere?	de
ENTY:other	Was umfasst die NATO-Länder?	de
NUM:count	Was sind die Arbeitslosenstatistiken für die Jahre 1965 und 1990	de
ENTY:animal	Was ist der richtige Name für eine weibliche Walross?	de
DESC:desc	Was ist der Panama-Kanal?	de
ENTY:word	Was ist das längste englische Wort?	de
DESC:manner	Was ist die Methode, um einen Knoten zu binden?	de
NUM:code	Was ist der Oktal-Code für die Eingabetaste?	de
ENTY:product	Was ist der Name des Kevin Costners Film über die Sioux-Indianer?	de
DESC:def	Was ist ein Friedhof?	de
DESC:desc	Was geschah während der Finanzkrise 2008?	de
NUM:count	Wie viele Sportarten gibt es?	de
ENTY:cremat	Nenne einen Roman, der von John Steinbeck geschrieben wurde.	de
NUM:date	Wann fand die königliche Hochzeit von Prinz Andrew und Fergie statt	de
ABBR:abb	Was steht für SMTP?	de
DESC:reason	Warum enthalten ISBN-Nummern für Bücher Prüfziffern?	de
ABBR:exp	Was bedeutet FAQ?	de
DESC:reason	Was verursacht Abfluss?	de
DESC:def	Was bedeutet JSON?	de
NUM:count	Wie viele Muskeln gibt es?	de
DESC:reason	Wie funktionieren Sicherheitsfarben?	de
ABBR:exp	Was repräsentiert CUW?	de
ENTY:symbol	Was war das Symbol, das von den Nazis verwendet wurde	de
DESC:desc	Aus was wird Käse hergestellt?	de
LOC:other	Welches Land hat die meisten Wasserverschmutzungen	de
DESC:def	Was ist ein Atoll?	de
NUM:volsize	Wie groß ist der Arktische Ozean?	de
DESC:desc	Was ist das Ohr?	de
HUM:gr	Was ist ein Arbeitgeber?	de
ENTY:food	Was ist Tilapia?	de
LOC:other	Woher stammt Getreide?	de
HUM:desc	Beschreibe ein typisches Pflegepersonal	de
DESC:reason	Warum übertragen Nerven?	de
DESC:desc	Wie ist das Wetter auf dem Mond	de
ABBR:exp	Was bedeutet FBI genau?	de
LOC:water	Welcher Ozean umgibt die Malediven	de
NUM:dist	Wie hoch ist der Kilimandscharo	de
NUM:count	Wie viele Saiten hat eine Harfe	de
ABBR:exp	Was steht für LBY?	de
ENTY:desc	Welche Farbe ist Karmesin	de
DESC:manner	Wie werden Samen kultiviert	de
ENTY:word	Nenne die 5 Wörter, die alle Buchstaben des Alphabets verwenden, außer Q, ohne Wiederholungen	de
ENTY:product	Welches Produkt wagte Robert Conrad, von seinem Schulter zu schlagen	de
NUM:money	Wie viel Geld bekommt jeder Spieler zu Beginn des Spiels in Monopoly?	de
ABBR:exp	Was erweitert sich nach MDV?	de
DESC:reason	Was verursacht Lavaströme?	de
DESC:desc	Was ist ein Skript?	de
DESC:desc	Wie funktioniert die Mikrodienstarchitektur?	de
